ADM4_EN,ADM3_EN,ADM4_PCODE,pop,pop_est
Barangay 164,City of Manila,PH1303901164,1824.0,1228.4917910175445
Barangay 165,City of Manila,PH1303901165,903.0,1047.9983690059107
Barangay 166,City of Manila,PH1303901166,860.0,1550.5453789069118
Barangay 167,City of Manila,PH1303901167,955.0,1327.9105143359182
Barangay 168,City of Manila,PH1303901168,1154.0,1389.4263508350493
Barangay 169,City of Manila,PH1303901169,1100.0,1265.9233979667354
Barangay 170,City of Manila,PH1303901170,1245.0,895.5204836349928
Barangay 171,City of Manila,PH1303901171,1026.0,1248.5661225077445
Barangay 172,City of Manila,PH1303901172,1038.0,2089.924388557796
Barangay 173,City of Manila,PH1303901173,1704.0,1405.9610092611338
Barangay 174,City of Manila,PH1303901174,751.0,1181.7493561553508
Barangay 175,City of Manila,PH1303901175,996.0,1698.7537014137408
Barangay 176,City of Manila,PH1303901176,1312.0,2044.761790123617
Barangay 177,City of Manila,PH1303901177,3440.0,6333.054266595943
Barangay 178,City of Manila,PH1303901178,1324.0,1054.1306139700916
Barangay 179,City of Manila,PH1303901179,1034.0,1490.648719664149
Barangay 180,City of Manila,PH1303901180,2160.0,1625.6965175758728
Barangay 181,City of Manila,PH1303901181,2334.0,852.9932772225135
Barangay 182,City of Manila,PH1303901182,4072.0,2433.0535415130757
Barangay 183,City of Manila,PH1303901183,8512.0,1900.7016474155055
Barangay 184,City of Manila,PH1303901184,2126.0,2079.9952310862004
Barangay 185,City of Manila,PH1303901185,3399.0,1583.666931140203
Barangay 186,City of Manila,PH1303901186,1492.0,2133.4941247036445
Barangay 187,City of Manila,PH1303901187,717.0,508.12421877954563
Barangay 188,City of Manila,PH1303901188,872.0,644.929070522229
Barangay 189,City of Manila,PH1303901189,1618.0,1118.5378984096442
Barangay 190,City of Manila,PH1303901190,1282.0,718.5956181983362
Barangay 191,City of Manila,PH1303901191,754.0,483.77744987259393
Barangay 192,City of Manila,PH1303901192,1771.0,1573.0878435541358
Barangay 193,City of Manila,PH1303901193,928.0,522.794807364751
Barangay 194,City of Manila,PH1303901194,746.0,784.5924040267553
Barangay 195,City of Manila,PH1303901195,1261.0,487.66350477121705
Barangay 196,City of Manila,PH1303901196,1468.0,930.509842232078
Barangay 197,City of Manila,PH1303901197,305.0,671.1811747515684
Barangay 198,City of Manila,PH1303901198,3840.0,1999.2409274260428
Barangay 199,City of Manila,PH1303901199,2240.0,1652.4288850183946
Barangay 200,City of Manila,PH1303901200,757.0,701.7221386757302
Barangay 201,City of Manila,PH1303901201,1166.0,2412.107785596882
Barangay 202,City of Manila,PH1303901202,1289.0,1509.147367016003
Barangay 202-A,City of Manila,PH1303901922,1037.0,900.5796693242452
Barangay 203,City of Manila,PH1303901203,2014.0,2798.5468182790933
Barangay 204,City of Manila,PH1303901204,1932.0,2384.590594662074
Barangay 205,City of Manila,PH1303901205,1832.0,2142.811009611348
Barangay 206,City of Manila,PH1303901206,2487.0,1914.2321959449534
Barangay 207,City of Manila,PH1303901207,1139.0,2288.332132531821
Barangay 208,City of Manila,PH1303901208,454.0,1386.4055238900114
Barangay 209,City of Manila,PH1303901209,4704.0,2896.915969875761
Barangay 210,City of Manila,PH1303901210,3106.0,1675.6541654296955
Barangay 211,City of Manila,PH1303901211,2102.0,1440.2949255505573
Barangay 212,City of Manila,PH1303901212,2131.0,1345.137557783803
Barangay 213,City of Manila,PH1303901213,3037.0,1471.484013945854
Barangay 214,City of Manila,PH1303901214,1323.0,737.1073109420721
Barangay 215,City of Manila,PH1303901215,3147.0,822.0096354172175
Barangay 216,City of Manila,PH1303901216,2237.0,1466.6325075128132
Barangay 217,City of Manila,PH1303901217,1025.0,1294.23194961161
Barangay 218,City of Manila,PH1303901218,339.0,1039.0613350573738
Barangay 219,City of Manila,PH1303901219,1117.0,1702.7199528463584
Barangay 220,City of Manila,PH1303901220,1290.0,2474.089530472841
Barangay 221,City of Manila,PH1303901221,3395.0,1157.3947745904402
Barangay 222,City of Manila,PH1303901222,1760.0,800.3924082958014
Barangay 223,City of Manila,PH1303901223,1583.0,871.5303366182042
Barangay 224,City of Manila,PH1303901224,1078.0,1747.4242592607711
Barangay 225,City of Manila,PH1303901225,2275.0,722.8528306349722
Barangay 226,City of Manila,PH1303901226,1201.0,1129.1498875594157
Barangay 227,City of Manila,PH1303901227,1726.0,2141.2733163980092
Barangay 228,City of Manila,PH1303901228,2697.0,700.579096750615
Barangay 229,City of Manila,PH1303901229,1825.0,867.8772071793223
Barangay 230,City of Manila,PH1303901230,2376.0,503.9850280854388
Barangay 231,City of Manila,PH1303901231,1389.0,1121.646854016248
Barangay 232,City of Manila,PH1303901232,1871.0,1726.8054125059662
Barangay 233,City of Manila,PH1303901233,724.0,986.0449607150862
Barangay 234,City of Manila,PH1303901234,2013.0,1906.245327282132
Barangay 235,City of Manila,PH1303901235,1264.0,1120.2312731671611
Barangay 236,City of Manila,PH1303901236,603.0,1321.2709412345425
Barangay 237,City of Manila,PH1303901237,223.0,1026.2807289030113
Barangay 238,City of Manila,PH1303901238,390.0,764.3744108216249
Barangay 239,City of Manila,PH1303901239,1631.0,1045.783491483608
Barangay 240,City of Manila,PH1303901240,91.0,623.5818994676624
Barangay 241,City of Manila,PH1303901241,303.0,3985.0164084022854
Barangay 242,City of Manila,PH1303901242,454.0,1100.392609779133
Barangay 243,City of Manila,PH1303901243,338.0,685.200063248909
Barangay 244,City of Manila,PH1303901244,659.0,611.1160054164665
Barangay 245,City of Manila,PH1303901245,318.0,463.78014806937364
Barangay 246,City of Manila,PH1303901246,1258.0,857.7514659256501
Barangay 247,City of Manila,PH1303901247,876.0,651.348397741441
Barangay 248,City of Manila,PH1303901248,173.0,398.802104756277
Barangay 249,City of Manila,PH1303901249,1750.0,681.3270921244003
Barangay 250,City of Manila,PH1303901250,1232.0,1619.8641082487595
Barangay 251,City of Manila,PH1303901251,1339.0,443.87824994656205
Barangay 252,City of Manila,PH1303901252,925.0,409.99658170642704
Barangay 253,City of Manila,PH1303901253,1339.0,1096.1600637847607
Barangay 254,City of Manila,PH1303901254,3513.0,2239.56282217798
Barangay 255,City of Manila,PH1303901255,957.0,1040.2203945618596
Barangay 256,City of Manila,PH1303901256,1044.0,988.299295270334
Barangay 257,City of Manila,PH1303901257,1341.0,531.6524984860067
Barangay 258,City of Manila,PH1303901258,708.0,1014.4380441769865
